 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    in_sed         out_sed        fp_dep         ch_dep        bank_ero        bed_ero         in_no3        in_orgn        out_no3       out_orgn         fp_no3        bank_no3       bed_no3        fp_orgn        ch_orgn        bank_orgn      bed_orgn       in_solp        in_orgp        out_solp       out_orgp       fp_solp        bank_solp      bed_solp       fp_orgp        ch_orgp        bank_orgp      bed_orgp       no3_orgn       solp_orgp      
                                                                    tons            tons          tons           tons            tons           tons           tons           tons           tons          tons           tons           tons           tons           tons            tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons         
   365    12    31  2001      32      32  cha032               0.1565E+07     0.1565E+07     0.0000E+00     0.1980E+03     0.4038E+02     0.1761E+01     0.2986E+07     0.3155E+05     0.2986E+07     0.3154E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1748E+01     0.0000E+00     0.0000E+00     0.6390E+04     0.4535E+04     0.6390E+04     0.4535E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2513E+00     0.0000E+00     0.0000E+00     0.8498E+04     0.1774E+02
   365    12    31  2001      33      33  cha033               0.6727E+05     0.6755E+05     0.0000E+00     0.3187E+02     0.3109E+03     0.2282E+01     0.5210E+06     0.1093E+05     0.5210E+06     0.1093E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2317E+01     0.0000E+00     0.0000E+00     0.1326E+04     0.1546E+04     0.1326E+04     0.1545E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3278E+00     0.0000E+00     0.0000E+00     0.3881E+04     0.9844E+01
   365    12    31  2001      34      34  cha034               0.6720E+05     0.6727E+05     0.0000E+00     0.1727E+03     0.2380E+03     0.9275E+00     0.5209E+06     0.1094E+05     0.5209E+06     0.1093E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1202E+02     0.0000E+00     0.0000E+00     0.1326E+04     0.1547E+04     0.1326E+04     0.1546E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1700E+01     0.0000E+00     0.0000E+00     0.2062E+05     0.5225E+02
   365    12    31  2001      35      35  cha035               0.1499E+07     0.1498E+07     0.0000E+00     0.1234E+04     0.4991E+03     0.1033E+02     0.2446E+07     0.2000E+05     0.2446E+07     0.2000E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6785E+01     0.0000E+00     0.0000E+00     0.4831E+04     0.2906E+04     0.4831E+04     0.2905E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9873E+00     0.0000E+00     0.0000E+00     0.3588E+05     0.6780E+02
   365    12    31  2001      36      36  cha036               0.1311E+07     0.1309E+07     0.7304E+03     0.9806E+03     0.4207E+02     0.1666E+01     0.1845E+07     0.1341E+05     0.1844E+07     0.1321E+05     0.1199E+04     0.0000E+00     0.0000E+00     0.1991E+03     0.3098E+01     0.0000E+00     0.0000E+00     0.2674E+04     0.1946E+04     0.2653E+04     0.1917E+04     0.2064E+02     0.0000E+00     0.0000E+00     0.2864E+02     0.4521E+00     0.0000E+00     0.0000E+00     0.2116E+05     0.2742E+02
   365    12    31  2001      37      37  cha037               0.1312E+07     0.1314E+07     0.0000E+00     0.1090E+02     0.1850E+04     0.8374E+01     0.1688E+07     0.1289E+05     0.1688E+07     0.1289E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4601E-01     0.0000E+00     0.0000E+00     0.2223E+04     0.1867E+04     0.2223E+04     0.1867E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6674E-02     0.0000E+00     0.0000E+00     0.2035E+03     0.2569E+00
   365    12    31  2001      38      38  cha038               0.1279E+07     0.1278E+07     0.4699E+03     0.4480E+03     0.5726E+02     0.9088E+00     0.1554E+07     0.9766E+04     0.1554E+07     0.9689E+04     0.5863E+03     0.0000E+00     0.0000E+00     0.7614E+02     0.1053E+01     0.0000E+00     0.0000E+00     0.2113E+04     0.1405E+04     0.2104E+04     0.1394E+04     0.9381E+01     0.0000E+00     0.0000E+00     0.1088E+02     0.1522E+00     0.0000E+00     0.0000E+00     0.7444E+04     0.8982E+01
   365    12    31  2001      39      39  cha039               0.5969E+06     0.5967E+06     0.2663E+03     0.5784E+03     0.5475E+03     0.3271E+01     0.1323E+07     0.8112E+04     0.1322E+07     0.7992E+04     0.9731E+03     0.0000E+00     0.0000E+00     0.1174E+03     0.2480E+01     0.0000E+00     0.0000E+00     0.1788E+04     0.1153E+04     0.1771E+04     0.1136E+04     0.1689E+02     0.0000E+00     0.0000E+00     0.1650E+02     0.3541E+00     0.0000E+00     0.0000E+00     0.1596E+05     0.1907E+02
   365    12    31  2001      40      40  cha040               0.5465E+06     0.5465E+06     0.8999E+02     0.1797E+03     0.2558E+03     0.7936E+00     0.1041E+07     0.7165E+04     0.1041E+07     0.7125E+04     0.3272E+03     0.0000E+00     0.0000E+00     0.3957E+02     0.7431E+00     0.0000E+00     0.0000E+00     0.1517E+04     0.1014E+04     0.1512E+04     0.1008E+04     0.5028E+01     0.0000E+00     0.0000E+00     0.5539E+01     0.1056E+00     0.0000E+00     0.0000E+00     0.3818E+04     0.4953E+01
   365    12    31  2001      41      41  cha041               0.5475E+06     0.5465E+06     0.6396E+03     0.5017E+03     0.1245E+03     0.9721E+00     0.1041E+07     0.7344E+04     0.1039E+07     0.7165E+04     0.1794E+04     0.0000E+00     0.0000E+00     0.1771E+03     0.1878E+01     0.0000E+00     0.0000E+00     0.1508E+04     0.1039E+04     0.1485E+04     0.1014E+04     0.2304E+02     0.0000E+00     0.0000E+00     0.2484E+02     0.2670E+00     0.0000E+00     0.0000E+00     0.1056E+05     0.1316E+02
