 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
   365    12    31  2001      33      33  cha033               0.7344E+00     0.0000E+00     0.7337E+00     0.1080E+01     0.4550E+05     0.4569E+05     0.4569E+05     0.2156E+02     0.0000E+00     0.1393E+01     0.2069E+03     0.0000E+00     0.4119E+02     0.1308E+01     0.4670E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.7207E+02     0.0000E+00     0.7200E+02     0.7523E+01     0.1148E+04     0.4718E+01     0.1308E+01     0.0000E+00
   365    12    31  2001      34      34  cha034               0.7372E+00     0.0000E+00     0.7343E+00     0.1084E+01     0.4546E+05     0.4550E+05     0.4550E+05     0.1168E+03     0.0000E+00     0.9275E+00     0.1582E+03     0.0000E+00     0.4117E+02     0.1308E+01     0.2640E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.7240E+02     0.0000E+00     0.7211E+02     0.4179E+02     0.1147E+04     0.4718E+01     0.1308E+01     0.0000E+00
   365    12    31  2001      35      35  cha035               0.2368E+01     0.0000E+00     0.2367E+01     0.3385E+01     0.9958E+06     0.9953E+06     0.9953E+06     0.8219E+03     0.0000E+00     0.6016E+01     0.3242E+03     0.0000E+00     0.4954E+02     0.1480E+01     0.3840E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1709E+03     0.0000E+00     0.1708E+03     0.3360E+03     0.5369E+04     0.1227E+02     0.1480E+01     0.0000E+00
   365    12    31  2001      36      36  cha036               0.1390E+01     0.0000E+00     0.1389E+01     0.2055E+01     0.8726E+06     0.8715E+06     0.8715E+06     0.6539E+03     0.4250E+03     0.8331E+00     0.2754E+02     0.0000E+00     0.3987E+02     0.1280E+01     0.2250E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1440E+03     0.0000E+00     0.1440E+03     0.2301E+03     0.4125E+04     0.7405E+01     0.1280E+01     0.0000E+00
   365    12    31  2001      37      37  cha037               0.1207E+01     0.0000E+00     0.1207E+01     0.1814E+01     0.8731E+06     0.8743E+06     0.8743E+06     0.7255E+01     0.0000E+00     0.5567E+01     0.1228E+04     0.0000E+00     0.3610E+02     0.1198E+01     0.2728E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1476E+03     0.0000E+00     0.1476E+03     0.2359E+01     0.3778E+04     0.6611E+01     0.1198E+01     0.0000E+00
   365    12    31  2001      38      38  cha038               0.1108E+01     0.0000E+00     0.1107E+01     0.1687E+01     0.8513E+06     0.8508E+06     0.8508E+06     0.2987E+03     0.2792E+03     0.4544E+00     0.3748E+02     0.0000E+00     0.3330E+02     0.1136E+01     0.3480E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1549E+03     0.0000E+00     0.1549E+03     0.9275E+02     0.3499E+04     0.5608E+01     0.1136E+01     0.0000E+00
   365    12    31  2001      39      39  cha039               0.9366E+00     0.0000E+00     0.9361E+00     0.1462E+01     0.3985E+06     0.3983E+06     0.3983E+06     0.3868E+03     0.1868E+03     0.1998E+01     0.3604E+03     0.0000E+00     0.2900E+02     0.1036E+01     0.5500E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1649E+03     0.0000E+00     0.1648E+03     0.1105E+03     0.2955E+04     0.4624E+01     0.1036E+01     0.0000E+00
   365    12    31  2001      40      40  cha040               0.7617E+00     0.0000E+00     0.7516E+00     0.1227E+01     0.3640E+06     0.3566E+06     0.3566E+06     0.1199E+03     0.6393E+02     0.4592E+00     0.1680E+03     0.0000E+00     0.2450E+02     0.9255E+00     0.6760E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1776E+03     0.0000E+00     0.1753E+03     0.3069E+02     0.2265E+04     0.3990E+01     0.9255E+00     0.0000E+00
   365    12    31  2001      41      41  cha041               0.7489E+00     0.0000E+00     0.7486E+00     0.1206E+01     0.3646E+06     0.3640E+06     0.3640E+06     0.3350E+03     0.3668E+03     0.4861E+00     0.8096E+02     0.0000E+00     0.2448E+02     0.9250E+00     0.4010E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1749E+03     0.0000E+00     0.1748E+03     0.8557E+02     0.2292E+04     0.3994E+01     0.9250E+00     0.0000E+00
   365    12    31  2001      42      42  cha042               0.6912E+00     0.0000E+00     0.6912E+00     0.1124E+01     0.3643E+06     0.3644E+06     0.3644E+06     0.1755E+02     0.0000E+00     0.1658E+00     0.1437E+03     0.0000E+00     0.2328E+02     0.8943E+00     0.1185E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1756E+03     0.0000E+00     0.1756E+03     0.4280E+01     0.2173E+04     0.3966E+01     0.8944E+00     0.0000E+00
   365    12    31  2001      43      43  cha043               0.5590E+00     0.0000E+00     0.5585E+00     0.9476E+00     0.3626E+06     0.3635E+06     0.3635E+06     0.5669E+03     0.0000E+00     0.2127E+01     0.1483E+04     0.0000E+00     0.1889E+02     0.7782E+00     0.9640E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2011E+03     0.0000E+00     0.2009E+03     0.1215E+03     0.1905E+04     0.3368E+01     0.7782E+00     0.0000E+00
   365    12    31  2001      44      44  cha044               0.4559E+00     0.0000E+00     0.4540E+00     0.7817E+00     0.3533E+06     0.3619E+06     0.3619E+06     0.2122E+04     0.0000E+00     0.6750E+01     0.1066E+05     0.0000E+00     0.1788E+02     0.7502E+00     0.1226E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1797E+03     0.0000E+00     0.1789E+03     0.3719E+03     0.1835E+04     0.2760E+01     0.7502E+00     0.0000E+00
   365    12    31  2001      45      45  cha045               0.1836E+00     0.0000E+00     0.1835E+00     0.3291E+00     0.3354E+06     0.3468E+06     0.3468E+06     0.4160E+02     0.0000E+00     0.1610E+00     0.1142E+05     0.0000E+00     0.1451E+02     0.6527E+00     0.4617E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1025E+03     0.0000E+00     0.1025E+03     0.7524E+01     0.1509E+04     0.3928E+00     0.6527E+00     0.0000E+00
   365    12    31  2001      46      46  cha046               0.1836E+00     0.0000E+00     0.1833E+00     0.3294E+00     0.3290E+06     0.3354E+06     0.3354E+06     0.3361E+03     0.0000E+00     0.3942E+00     0.6769E+04     0.0000E+00     0.1448E+02     0.6517E+00     0.2157E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1029E+03     0.0000E+00     0.1027E+03     0.6071E+02     0.1506E+04     0.3923E+00     0.6517E+00     0.0000E+00
   365    12    31  2001      47      47  cha047               0.1670E+00     0.0000E+00     0.1664E+00     0.3068E+00     0.3103E+06     0.3264E+06     0.3264E+06     0.5779E+03     0.0000E+00     0.6480E+00     0.1673E+05     0.0000E+00     0.1303E+02     0.6073E+00     0.2540E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1116E+03     0.0000E+00     0.1113E+03     0.9375E+02     0.1278E+04     0.3683E+00     0.6073E+00     0.0000E+00
   365    12    31  2001      48      48  cha048               0.9105E+00     0.0000E+00     0.9105E+00     0.1499E+01     0.1256E+06     0.1263E+06     0.1263E+06     0.8345E+01     0.0000E+00     0.5809E+00     0.7379E+03     0.0000E+00     0.2183E+02     0.8569E+00     0.1771E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2574E+03     0.0000E+00     0.2574E+03     0.1988E+01     0.1215E+04     0.4062E+01     0.8569E+00     0.0000E+00
