 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    365    12    31  2001     86       0  rtu0860                1.568   32553.852       0.000    1559.193      11.523      60.160      22.278     101.982       0.000       0.000       0.000      51.683     104.797       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     87       0  rtu0870                2.120   50872.273      91.336    2563.079      12.346      55.519      28.161     121.133       0.000       0.038       0.000      77.147     143.390       0.000      17.036       8.379      12.708      15.679       5.064       0.742       0.520       0.000       0.000       0.000       0.000
    365    12    31  2001     88       0  rtu0880                2.176   52548.387       0.000    2575.977      12.341      58.497      28.681     122.959       0.000       0.000       0.000      79.733     134.142       0.000      17.036       8.379      12.707      15.678       5.064       0.742       0.520       0.000       0.000       0.000       0.000
    365    12    31  2001     89       0  rtu0890                2.063   46754.480     235.971    2561.728      11.994      76.245      25.306     130.600       0.012       0.053       0.000      74.206     147.498       0.000      15.775       8.347      12.061      16.080       3.720       0.729       0.421       0.000       0.000       0.000       0.000
    365    12    31  2001     90       0  rtu0900                1.832   36330.578     199.322    1882.516      11.498      84.619      48.569     107.484       0.329       0.046       0.000     121.925     169.635       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     91       0  rtu0910                2.742   52950.676      10.012    2535.618      13.785      96.009       4.655     122.949       0.000       0.006       0.000      82.674      49.063       0.000      21.568       7.018      14.293      15.488       3.077       0.771       0.445       0.000       0.000       0.000       0.000
    365    12    31  2001     92       0  rtu0920                0.780   12845.269    1931.652    2094.009      13.887      28.892      17.373      57.009       0.002       0.655       0.000      19.641      76.860       0.000      21.047       8.288      14.668      14.290       2.893       0.756       0.439       0.000       0.000       0.000       0.000
    365    12    31  2001     93       0  rtu0930                2.096   41287.180     485.882    2313.407      13.669      73.717       3.943     107.039       0.018       0.131       0.000      63.938     157.804       0.000      22.344       6.414      14.379      14.776       2.300       0.751       0.438       0.000       0.000       0.000       0.000
    365    12    31  2001     94       0  rtu0940                2.166   37702.262     504.248    2216.198      14.556      75.334      54.033      68.123       0.000       0.107       0.000      54.537     153.484       0.000      22.601       9.319      15.960      11.394       2.321       0.728       0.508       0.000       0.000       0.000       0.000
    365    12    31  2001     95       0  rtu0950                1.982   49948.562       0.000    2622.345      12.348      57.879      10.833     122.296       0.000       0.000       0.000      77.579     194.698       0.000      17.036       8.379      12.707      15.678       5.064       0.742       0.520       0.000       0.000       0.000       0.000
    365    12    31  2001     96       0  rtu0960                2.160   52141.395       0.000    2572.667      12.306      63.627       7.422     122.920       0.000       0.000       0.000      78.072     183.099       0.000      17.036       8.379      12.707      15.678       5.064       0.742       0.520       0.000       0.000       0.000       0.000
    365    12    31  2001     97       0  rtu0970                1.592   29118.977     730.990    2324.328      15.185      50.359      54.736      91.830       0.001       0.350       0.000      44.789      91.715       0.000      20.178      10.832      15.505      16.580       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     98       0  rtu0980                2.039   38565.195     705.951    2376.182      13.955      76.003       6.496      94.264       0.138       0.218       0.000      59.063      39.986       0.000      21.934       7.247      14.591      15.116       2.526       0.752       0.443       0.000       0.000       0.000       0.000
    365    12    31  2001     99       0  rtu0990                1.675   39441.703      68.419    2518.841      14.547      67.158      14.373      84.645       0.000       0.022       0.000      64.543     162.434       0.000      22.601       9.320      15.960      11.395       2.321       0.728       0.508       0.000       0.000       0.000       0.000
    365    12    31  2001    100       0  rtu1000                2.182   43439.887     249.108    2379.997      15.195      91.354      21.137     100.264       0.023       0.135       0.000      71.093      67.802       0.000      20.176      10.831      15.503      16.578       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001    101       0  rtu1010                1.761   33629.465     751.205    2311.047      15.205      60.285      52.995      94.877       1.582       0.403       0.000      51.707     195.526       0.000      20.177      10.831      15.504      16.579       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001    102       0  rtu1020                2.316   48608.031      44.564    2413.412      13.169      88.405      40.428     122.728       0.027       0.083       0.000      72.365     257.752       0.000      19.067       8.898      13.983      13.654       2.361       0.723       0.427       0.000       0.000       0.000       0.000
    365    12    31  2001    103       0  rtu1030                1.953   47173.336      23.821    2357.217      12.392      64.373      71.167     115.976       0.001       0.010       0.000      69.770     209.452       0.000      17.036       8.379      12.707      15.678       5.064       0.742       0.520       0.000       0.000       0.000       0.000
    365    12    31  2001    104       0  rtu1040                1.822   36829.480     818.470    2420.231      15.083      73.846      23.186     104.921       0.121       0.270       0.000      57.364     117.660       0.000      19.990      10.748      15.369      16.576       3.461       0.759       0.459       0.000       0.000       0.000       0.000
    365    12    31  2001    105       0  rtu1050                1.779   37855.129     319.809    2387.315      13.985      75.331      25.788     110.042       0.029       0.236       0.000      64.384     116.888       0.000      18.306       9.998      14.152      16.546       3.130       0.746       0.417       0.000       0.000       0.000       0.000
