 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    365    12    31  2001     35       0  rtu0350              534.498       0.000       0.000     203.702       6.625     210.327     219.766     549.025      27.688     367.553     153.784     203.730      57.322      68.000     206.474     217.636      22.712       0.000       0.000       0.000    1145.994       0.000       0.000       0.000       0.000       0.000     203.730       0.000       0.000       6.625       0.000       0.000     513.810     131.201     131.172      69.142     116.317      24.508      95.672       0.000       0.000       0.000
    365    12    31  2001     36       0  rtu0360              534.489       0.035       0.035      32.970       5.073      38.044      41.301     525.272      31.762     383.694     109.816      32.970      56.054      73.855     118.054     125.325      16.892       0.000       0.000       0.005    1146.642       0.000       0.000       0.000       0.000       0.000      32.970       0.000       0.000       5.073       0.000       0.000      92.207       3.518       3.517      22.069       2.140      12.409       0.490       0.000       0.000       0.000
    365    12    31  2001     37       0  rtu0370              540.079     107.404     106.761    5499.823       3.728    5503.552     464.810     804.065      10.174     130.876     663.016    5501.928      96.171      88.414     580.721     547.688      94.376       0.000       0.000      15.226     857.581       0.000       0.000       0.000       0.000       0.000    5501.928       0.000       0.000       3.728       0.000       0.000    6480.432    5085.611    5083.507     245.816    1972.650     104.816    1823.321       0.000       0.000       0.000
    365    12    31  2001     38       0  rtu0380              540.079     106.814     106.198    1298.777       2.577    1301.354     250.761     452.613       8.504     107.591     336.518    1298.864      93.235      88.414     419.002     354.964      45.387       0.000       0.000      15.097     857.592       0.000       0.000       0.000       0.000       0.000    1298.864       0.000       0.000       2.577       0.000       0.000    1629.906     922.209     922.122     165.068      87.443      56.347      70.632       0.000       0.000       0.000
    365    12    31  2001     39       0  rtu0390              540.079     103.515     103.052      69.145      23.857      93.002      85.221     404.893      29.223     315.141      60.530      69.145      55.116      92.669     154.981     207.132      21.153       0.000       0.000      14.379     858.313       0.000       0.000       0.000       0.000       0.000      69.145       0.000       0.000      23.857       0.000       0.000      74.165      28.609      28.608      31.113      13.095      76.550       9.790       0.000       0.000       0.000
    365    12    31  2001     40       0  rtu0400              540.073     103.837     103.358    2221.885     217.269    2439.155     481.282     670.565      29.679     476.461     164.424    2222.248      79.529     109.465     607.177     589.031      85.043       0.000       0.000      14.450     857.797       0.000       0.000       0.000       0.000       0.000    2222.248       0.000       0.000     217.269       0.000       0.000    3300.618    1958.674    1958.312     248.515     468.574     686.027     442.756       0.000       0.000       0.000
    365    12    31  2001     41       0  rtu0410              540.084     103.598     103.133     108.985      31.230     140.214     145.592     430.473      28.757     311.305      90.411     108.991      52.554      84.751     177.258     229.853      23.618       0.000       0.000      14.398     858.179       0.000       0.000       0.000       0.000       0.000     108.991       0.000       0.000      31.230       0.000       0.000     222.430      66.942      66.935      46.190      14.110      91.759      10.395       0.000       0.000       0.000
    365    12    31  2001     42       0  rtu0420              540.084     106.310     105.719     325.838      37.490     363.327     192.373     299.945       8.444      98.002     193.499     325.837      86.971      89.593     248.060     306.619      15.492       0.000       0.000      14.986     857.809       0.000       0.000       0.000       0.000       0.000     325.837       0.000       0.000      37.490       0.000       0.000     394.812      24.042      24.042      79.125       0.031     170.891       0.000       0.000       0.000       0.000
    365    12    31  2001     43       0  rtu0430              540.052     104.533     104.017     335.740      36.570     372.310     186.138     375.021      21.474     220.288     133.259     335.773      68.395      91.522     283.725     332.473      24.415       0.000       0.000      14.599     858.039       0.000       0.000       0.000       0.000       0.000     335.773       0.000       0.000      36.570       0.000       0.000     489.522     207.923     207.889      95.970      52.210     158.417      45.606       0.000       0.000       0.000
    365    12    31  2001     44       0  rtu0440              547.911      97.035      96.563     278.900      83.244     362.145     242.102     490.179      23.610     282.606     183.963     278.903      66.445      93.514     329.358     376.419      32.142       0.000       0.000      13.486     867.529       0.000       0.000       0.000       0.000       0.000     278.903       0.000       0.000      83.244       0.000       0.000     664.541     177.394     177.391     117.760      82.855     363.502      68.729       0.000       0.000       0.000
    365    12    31  2001     45       0  rtu0450              540.079     103.300     102.853      10.931      30.413      41.344      53.745     431.490      31.575     355.425      44.490      10.931      54.545      88.414     115.431     192.423      20.457       0.000       0.000      14.334     858.742       0.000       0.000       0.000       0.000       0.000      10.931       0.000       0.000      30.413       0.000       0.000       0.000       0.000       0.000      13.490       0.190     130.413       0.000       0.000       0.000       0.000
    365    12    31  2001     46       0  rtu0460              740.321       2.867       2.867       8.715      58.507      67.222      85.562     604.925      35.316     493.276      76.333       8.715      54.563     143.585     223.108     254.819      28.607       0.000       0.000       0.002    1174.619       0.000       0.000       0.000       0.000       0.000       8.715       0.000       0.000      58.507       0.000       0.000      57.151       1.123       1.123      39.707       0.606     204.987       0.012       0.000       0.000       0.000
