 Tordera                  
  SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2000     419    past                        0.000       0.000       0.000       0.000
   366    12    31  2000     420    past                        0.000       0.000       0.000       0.000
   366    12    31  2000     421    past                        0.000       0.000       0.000       0.000
   366    12    31  2000     422    past                        0.000       0.000       0.000       0.000
   366    12    31  2000     423    past                        0.000       0.000       0.000       0.000
   366    12    31  2000     424    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     425    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     426    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     427    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     428    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     429    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     430    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     431    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     432    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     433    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     434    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     435    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     436    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     437    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     438    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     439    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     440    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     441    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     442    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     443    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     444    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     445    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     446    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     447    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     448    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     449    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     450    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     451    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     452    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     453    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     454    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     455    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     456    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     457    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     458    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     459    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     460    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     461    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     462    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     463    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2000     466    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     467    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     468    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     469    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     470    rngb                        0.000       0.000       0.000       0.000
