 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   365    12    31  2017      27     270  aqu270                    0.000          4.057        297.080         14.215          0.711         22.393          1.435          0.000          0.500          0.000         12.358         12.191          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      28     280  aqu280                    0.000          3.459        326.995         20.432          1.022         22.393          0.813          0.000          0.500          0.000          6.962          6.963          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      29     290  aqu290                    0.000          3.377        331.079         22.178          1.109         22.393          1.027          0.000          0.500          0.000          8.732          8.782          0.000          0.005          0.000          0.000          0.000
   365    12    31  2017      30     300  aqu300                    0.000          4.057        297.083         14.221          0.711         22.393          1.436          0.000          0.500          0.000         12.368         12.201          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      31     310  aqu310                    0.000          3.417        329.098         21.019          1.051         22.393          0.892          0.000          0.500          0.000          7.636          7.639          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      32     320  aqu320                    0.000          4.057        297.082         14.220          0.711         22.393          1.436          0.000          0.500          0.000         12.366         12.200          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      33     330  aqu330                    0.000          4.057        297.080         14.217          0.711         22.393          1.435          0.000          0.500          0.000         12.360         12.194          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      34     340  aqu340                    0.000          4.057        297.078         14.213          0.711         22.393          1.434          0.000          0.500          0.000         12.354         12.188          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      35     350  aqu350                    0.000          4.057        297.083         14.221          0.711         22.393          1.436          0.000          0.500          0.000         12.368         12.201          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      36     360  aqu360                    0.000          4.078        296.046          4.384          0.219         22.393          0.296          0.000          0.500          0.000          2.537          2.540          0.000          0.000          0.000          0.000          0.000
