 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                         m^3/s   
   365    12    31  2018         1     1  april24               0.9018E-02     0.0000E+00     0.1320E-01     0.9027E-02     0.3237E-05     0.1609E-05     0.1609E-05     0.0000E+00     0.1609E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2955E-02     0.0000E+00     0.4418E-02     0.6969E-02
    31     1    31  2019         1     1  april24               0.3859E-05     0.0000E+00     0.2751E-05     0.7536E-05     0.3929E-07     0.1052E-07     0.1052E-07     0.0000E+00     0.1052E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2607E-04     0.0000E+00     0.1049E-04     0.2839E-02
    59     2    28  2019         1     1  april24               0.8665E-05     0.0000E+00     0.7563E-05     0.1528E-04     0.3865E-07     0.1019E-07     0.1019E-07     0.0000E+00     0.1019E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.3742E-04     0.0000E+00     0.2210E-04     0.2704E-06
    90     3    31  2019         1     1  april24               0.8958E-05     0.0000E+00     0.7628E-05     0.1607E-04     0.3865E-07     0.1019E-07     0.1019E-07     0.0000E+00     0.1019E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.3811E-04     0.0000E+00     0.2029E-04     0.2981E-06
   120     4    30  2019         1     1  april24               0.1708E+01     0.0000E+00     0.1543E+01     0.3600E+01     0.4700E-02     0.3359E-02     0.2340E-02     0.0000E+00     0.2154E-02     0.8131E-03     0.2062E-03     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.2504E-04     0.3178E-03     0.0000E+00     0.8549E+01     0.0000E+00     0.8081E+01     0.1268E+00
   151     5    31  2019         1     1  april24               0.1235E+03     0.0000E+00     0.1208E+03     0.2078E+03     0.2942E+01     0.3742E+01     0.1471E+01     0.0000E+00     0.1409E+01     0.2258E+01     0.1313E-01     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.3799E-01     0.6587E-02     0.0000E+00     0.3060E+03     0.0000E+00     0.3005E+03     0.7880E+02
   181     6    30  2019         1     1  april24               0.1785E+03     0.0000E+00     0.1753E+03     0.2969E+03     0.5593E+01     0.8120E+01     0.2796E+01     0.0000E+00     0.2649E+01     0.5307E+01     0.1645E-01     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.8140E-01     0.6731E-02     0.0000E+00     0.4351E+03     0.0000E+00     0.4294E+03     0.1113E+03
   212     7    31  2019         1     1  april24               0.2797E+03     0.0000E+00     0.2771E+03     0.4422E+03     0.5461E+01     0.9395E+01     0.2730E+01     0.0000E+00     0.2629E+01     0.6657E+01     0.7037E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.6370E-01     0.3105E-02     0.0000E+00     0.5563E+03     0.0000E+00     0.5488E+03     0.1937E+03
   243     8    31  2019         1     1  april24               0.3607E+03     0.0000E+00     0.3611E+03     0.5605E+03     0.7030E+01     0.1355E+02     0.3515E+01     0.0000E+00     0.3357E+01     0.1003E+02     0.2084E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.8524E-01     0.2297E-02     0.0000E+00     0.6847E+03     0.0000E+00     0.6856E+03     0.2146E+03
   273     9    30  2019         1     1  april24               0.2034E+03     0.0000E+00     0.2083E+03     0.3140E+03     0.9339E+01     0.1540E+02     0.4670E+01     0.0000E+00     0.4410E+01     0.1073E+02     0.4471E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.1252E+00     0.1548E-02     0.0000E+00     0.4025E+03     0.0000E+00     0.4075E+03     0.2960E+03
