real_name,obd_irr_paddy_20160531,obd_irr_paddy_20160630,obd_irr_paddy_20160731,obd_irr_paddy_20160831,obd_irr_paddy_20160930,obd_irr_paddy_20170531,obd_irr_paddy_20170630,obd_irr_paddy_20170731,obd_irr_paddy_20170831,obd_irr_paddy_20170930,obd_irr_paddy_20180531,obd_irr_paddy_20180630,obd_irr_paddy_20180731,obd_irr_paddy_20180831,obd_irr_paddy_20180930,obd_irr_paddy_20190531,obd_irr_paddy_20190630,obd_irr_paddy_20190731,obd_irr_paddy_20190831,obd_irr_paddy_20190930,obd_irr_paddy_20200531,obd_irr_paddy_20200630,obd_irr_paddy_20200731,obd_irr_paddy_20200831,obd_irr_paddy_20200930,obd_irr_paddy_20210531,obd_irr_paddy_20210630,obd_irr_paddy_20210731,obd_irr_paddy_20210831,obd_irr_paddy_20210930,obd_irr_paddy_20220531,obd_irr_paddy_20220630,obd_irr_paddy_20220731,obd_irr_paddy_20220831,obd_irr_paddy_20220930,ns,pbias,rsq,rmse,mse,pcc
110,438.782,478.094,639.762,540.727,180.999,456.616,472.335,626.264,543.62,161.351,438.722,439.611,652.753,574.154,170.207,439.0,468.959,647.443,572.829,172.495,408.901,451.292,607.312,574.089,177.167,428.151,428.28,595.078,530.792,147.95,446.116,475.814,629.086,608.032,185.067,0.697686863312559,1.178015902144886,0.7039719199826232,113.58082722071467,12900.604312141839,0.839030345090464
111,421.396,460.501,625.632,528.603,175.601,439.229,453.373,613.485,530.805,156.801,423.579,420.617,636.952,559.577,165.329,423.053,452.42,632.077,559.504,167.797,393.539,432.679,595.032,559.498,172.103,413.286,414.829,581.717,519.614,143.999,426.566,457.092,616.102,589.499,178.939,0.6975866468176741,-1.8111738280650547,0.7077797556851163,113.59965162466743,12904.880849245807,0.8412964731205738
112,365.182,398.69,582.635,494.128,160.025,378.776,394.091,574.335,494.697,143.61,376.14,362.644,589.265,520.006,150.872,373.965,388.268,563.969,516.293,153.496,341.168,374.378,550.9,509.593,154.465,367.643,361.888,529.708,466.882,132.744,353.059,364.702,551.985,532.885,161.676,0.6129313157627998,-12.09076065206899,0.7023906778243248,128.51994640413966,16517.376623722932,0.8380875120322011
113,438.782,478.094,639.778,540.228,180.76,456.616,472.335,626.187,542.951,161.321,438.722,439.612,652.75,572.839,170.203,439.0,468.959,647.481,572.306,172.613,408.901,451.297,607.524,573.329,177.104,428.151,428.295,595.053,530.456,148.003,446.116,475.861,629.019,606.843,184.999,0.6974806874391606,1.1436964645700556,0.7037855015173311,113.61955136482295,12909.40245234364,0.8389192461240421
114,438.782,478.095,643.269,544.944,182.29,455.238,463.939,630.757,547.834,161.887,435.586,428.514,654.044,578.026,170.368,427.917,457.933,646.474,576.038,173.088,402.206,439.042,607.978,577.553,177.646,421.613,416.675,594.279,532.519,148.274,433.862,463.715,635.962,614.035,185.941,0.6955453813638808,0.7842128369329007,0.7004558689393681,113.98240101788046,12991.987741800916,0.8369324159926942
115,363.006,394.411,579.963,491.995,159.06,376.66,390.513,571.934,492.564,142.811,369.761,359.036,582.349,512.471,146.628,369.573,383.637,550.955,517.925,150.419,339.363,368.817,545.704,508.669,153.115,363.382,356.163,516.291,468.38,127.987,346.536,356.38,548.841,534.889,160.487,0.6007823915445729,-12.94898981013203,0.7008876317582611,130.52129136397852,17035.807499320577,0.8371903199143317
116,438.782,478.094,639.75,540.059,180.662,456.616,472.335,626.155,542.184,161.083,438.722,439.611,652.631,572.461,170.075,439.0,468.958,647.371,571.757,172.15,408.901,451.289,607.117,572.982,176.943,428.151,428.273,595.044,530.069,147.813,446.116,475.79,628.998,605.881,184.609,0.6973146328240795,1.104935085615712,0.7035696938960466,113.65073030404449,12916.488498642655,0.8387906138578606
117,438.782,478.094,639.752,540.447,180.867,456.616,472.335,626.172,542.98,161.238,438.722,439.611,652.712,573.431,170.156,439.0,468.958,647.399,572.368,172.353,408.901,451.291,607.202,573.57,177.07,428.151,428.278,595.047,530.5,147.899,446.116,475.805,629.056,607.177,184.896,0.6975134633699037,1.1466662928122653,0.7037874053786575,113.61339624139008,12908.00380550311,0.8389203808339963
118,438.782,478.094,639.936,540.701,180.994,456.616,472.335,626.516,543.579,161.43,438.722,439.612,653.253,573.923,170.262,439.0,468.959,647.749,572.949,172.771,408.901,451.297,607.722,573.912,177.203,428.151,428.294,595.227,531.013,148.088,446.116,475.86,629.522,608.244,185.256,0.6976536512160816,1.1981070462231034,0.7039319603399226,113.58706603956604,12902.021571476738,0.839006531762371
119,438.782,478.094,639.75,540.035,180.649,456.616,472.335,626.155,542.284,161.116,438.722,439.611,652.673,572.465,170.113,439.0,468.959,647.41,571.796,172.229,408.901,451.292,607.253,572.933,176.97,428.151,428.281,595.047,530.165,147.852,446.116,475.815,628.998,605.949,184.68,0.6973304545073068,1.1098314619202165,0.7035947575854946,113.6477599434873,12915.813340172517,0.8388055540979057
