iteration,total_runs,obs_realization,par_realization,val,cal
3,870,158,158,0,489.395
3,870,159,159,0,435.108
3,870,160,160,0,491.741
3,870,161,161,0,440.428
3,870,162,162,0,423.961
3,870,163,163,0,442.205
3,870,164,164,0,466.828
3,870,165,165,0,400.963
3,870,166,166,0,423.915
3,870,167,167,0,417.308
3,870,168,168,0,416.578
3,870,169,169,0,446.508
3,870,170,170,0,441.838
3,870,172,172,0,486.312
3,870,173,173,0,431.165
3,870,174,174,0,431.84
3,870,175,175,0,418.809
3,870,176,176,0,409.896
3,870,178,178,0,456.512
3,870,179,179,0,402.059
3,870,180,180,0,424.844
3,870,181,181,0,416.302
3,870,182,182,0,619.081
3,870,183,183,0,408.718
3,870,184,184,0,404.406
3,870,185,185,0,449.587
3,870,186,186,0,431.403
3,870,187,187,0,416.52
3,870,189,189,0,404.621
3,870,190,190,0,410.841
3,870,191,191,0,654.254
3,870,192,192,0,460.066
3,870,194,194,0,441.884
3,870,195,195,0,464.82
3,870,196,196,0,413.11
3,870,197,197,0,458.625
3,870,198,198,0,412.591
3,870,base,base,0,415.947
4,1088,1,1,0,433.206
4,1088,2,2,0,431.148
4,1088,4,4,0,388.154
4,1088,5,5,0,436.115
4,1088,6,6,0,414.879
4,1088,7,7,0,436.631
4,1088,8,8,0,474.166
4,1088,9,9,0,465.616
4,1088,10,10,0,432.466
4,1088,11,11,0,484.141
4,1088,12,12,0,398.717
4,1088,13,13,0,412.163
4,1088,14,14,0,467.164
4,1088,15,15,0,419.453
4,1088,16,16,0,433.923
4,1088,17,17,0,419.382
4,1088,18,18,0,445.404
4,1088,19,19,0,421.414
4,1088,20,20,0,464.63
4,1088,21,21,0,412.004
4,1088,22,22,0,486.101
4,1088,23,23,0,577.055
4,1088,24,24,0,466.387
4,1088,25,25,0,431.405
4,1088,26,26,0,424
4,1088,27,27,0,430.127
4,1088,28,28,0,474.322
4,1088,29,29,0,432.987
4,1088,30,30,0,504.962
4,1088,31,31,0,798.411
4,1088,32,32,0,496.881
4,1088,33,33,0,424.817
4,1088,34,34,0,590.581
4,1088,35,35,0,433.135
4,1088,36,36,0,407.357
4,1088,37,37,0,404.855
4,1088,38,38,0,449.29
4,1088,39,39,0,422.626
4,1088,40,40,0,415.723
4,1088,41,41,0,438.369
4,1088,42,42,0,467.249
4,1088,43,43,0,401.269
4,1088,44,44,0,955.18
4,1088,45,45,0,437.584
4,1088,46,46,0,425.286
4,1088,47,47,0,427.714
4,1088,48,48,0,562.372
4,1088,49,49,0,403.254
4,1088,50,50,0,419.989
4,1088,51,51,0,428.691
4,1088,52,52,0,409.276
4,1088,53,53,0,493.605
4,1088,54,54,0,412.501
4,1088,55,55,0,428.811
4,1088,56,56,0,466.452
4,1088,57,57,0,420
4,1088,58,58,0,503.404
4,1088,59,59,0,471.749
4,1088,60,60,0,435.671
4,1088,61,61,0,497.655
4,1088,62,62,0,818.964
4,1088,63,63,0,477.452
4,1088,64,64,0,442.124
4,1088,65,65,0,435.742
4,1088,66,66,0,421.83
4,1088,67,67,0,407.829
4,1088,69,69,0,459.366
4,1088,70,70,0,711.516
4,1088,71,71,0,417.226
4,1088,73,73,0,428.7
4,1088,74,74,0,441.645
4,1088,75,75,0,406.062
4,1088,76,76,0,638.435
4,1088,77,77,0,416.063
4,1088,78,78,0,587.03
4,1088,80,80,0,430.076
4,1088,81,81,0,451.754
4,1088,82,82,0,406.649
4,1088,83,83,0,464.32
4,1088,84,84,0,451.053
4,1088,85,85,0,600.322
4,1088,86,86,0,486.564
4,1088,87,87,0,412.288
4,1088,88,88,0,403.834
4,1088,89,89,0,431.475
4,1088,90,90,0,446.917
4,1088,91,91,0,516.505
4,1088,92,92,0,437.236
4,1088,93,93,0,473.356
4,1088,94,94,0,554.489
4,1088,95,95,0,427.244
4,1088,96,96,0,439.976
4,1088,97,97,0,441.771
4,1088,98,98,0,440.246
4,1088,99,99,0,699.165
4,1088,100,100,0,429.243
4,1088,101,101,0,399.701
4,1088,102,102,0,455.521
4,1088,103,103,0,420.624
4,1088,104,104,0,442.607
4,1088,105,105,0,598.93
4,1088,106,106,0,419.951
4,1088,107,107,0,414.836
4,1088,108,108,0,437.632
4,1088,109,109,0,467.469
4,1088,110,110,0,426.809
4,1088,111,111,0,411.485
4,1088,112,112,0,426.177
4,1088,113,113,0,404.689
4,1088,114,114,0,428.888
4,1088,115,115,0,565.607
4,1088,116,116,0,430.372
4,1088,117,117,0,447.433
4,1088,118,118,0,429.466
4,1088,119,119,0,391.855
4,1088,120,120,0,482.556
4,1088,121,121,0,429.306
4,1088,123,123,0,434.684
4,1088,124,124,0,408.336
4,1088,125,125,0,396.652
4,1088,126,126,0,434.365
4,1088,127,127,0,432.287
4,1088,128,128,0,579.735
4,1088,129,129,0,412.255
4,1088,130,130,0,741.646
4,1088,131,131,0,600.723
4,1088,132,132,0,454.309
4,1088,133,133,0,426.373
4,1088,135,135,0,430.9
4,1088,136,136,0,437.061
4,1088,137,137,0,426.928
4,1088,139,139,0,450.125
4,1088,140,140,0,423.363
4,1088,141,141,0,606.184
4,1088,142,142,0,407.734
4,1088,143,143,0,458.443
4,1088,144,144,0,497.865
4,1088,145,145,0,430.221
4,1088,146,146,0,418.921
4,1088,147,147,0,450.023
4,1088,148,148,0,460.307
4,1088,149,149,0,1597.9
4,1088,150,150,0,474.857
4,1088,152,152,0,427.073
4,1088,154,154,0,429.724
4,1088,155,155,0,431.288
4,1088,156,156,0,432.046
4,1088,157,157,0,439.484
4,1088,158,158,0,504.376
4,1088,159,159,0,434.656
4,1088,160,160,0,498.467
4,1088,161,161,0,437.518
4,1088,162,162,0,420.376
4,1088,163,163,0,437.129
4,1088,164,164,0,461.591
4,1088,165,165,0,401.278
4,1088,166,166,0,421.923
4,1088,167,167,0,471.207
4,1088,168,168,0,414.532
4,1088,169,169,0,442.632
4,1088,170,170,0,441.012
4,1088,172,172,0,488.6
4,1088,173,173,0,429.402
4,1088,174,174,0,425.14
4,1088,175,175,0,419.44
4,1088,176,176,0,407.733
4,1088,178,178,0,444.888
4,1088,179,179,0,401.315
4,1088,180,180,0,422.209
4,1088,181,181,0,415.778
4,1088,182,182,0,422.754
4,1088,183,183,0,409.299
4,1088,184,184,0,401.771
4,1088,185,185,0,437.813
4,1088,186,186,0,430.97
4,1088,187,187,0,416.66
4,1088,189,189,0,405.04
4,1088,190,190,0,410.601
4,1088,191,191,0,441.516
4,1088,192,192,0,456.164
4,1088,194,194,0,436.967
4,1088,195,195,0,461.165
4,1088,196,196,0,411.898
4,1088,197,197,0,424.781
4,1088,198,198,0,409.515
4,1088,base,base,0,416.243
5,1300,1,1,0,431.552
5,1300,2,2,0,428.869
5,1300,4,4,0,389.547
5,1300,5,5,0,433.716
5,1300,6,6,0,413.843
5,1300,7,7,0,434.383
5,1300,8,8,0,453.053
5,1300,9,9,0,463.679
5,1300,10,10,0,429.875
5,1300,11,11,0,513.991
5,1300,13,13,0,412.687
5,1300,14,14,0,464.169
