 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   365    12    31  2023      67     670  aqu670                    0.000          4.623        266.936          3.272          0.164         11.948          0.612          0.000          0.500          0.000          5.216          5.213          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      68     680  aqu680                    0.000          4.600        268.079          5.398          0.270         14.219          0.340          0.000          0.500          0.000          2.917          2.912          0.000          0.001          0.000          0.000          0.000
   365    12    31  2023      69     690  aqu690                    0.000          4.593        268.446          5.614          0.281         14.468          0.357          0.000          0.500          0.000          3.061          3.056          0.000          0.001          0.000          0.000          0.000
   365    12    31  2023      70     700  aqu700                    0.000          4.623        266.936          3.272          0.164         11.948          0.612          0.000          0.500          0.000          5.216          5.213          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      71     710  aqu710                    0.000          4.588        268.676          5.760          0.288         14.623          0.368          0.000          0.500          0.000          3.160          3.155          0.000          0.001          0.000          0.000          0.000
   365    12    31  2023      72     720  aqu720                    0.000          4.623        266.952          3.256          0.163         11.934          0.607          0.000          0.500          0.000          5.173          5.170          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      73     730  aqu730                    0.000          3.537        321.194         21.108          1.055         22.331          0.782          0.000          0.500          0.000          6.703          6.699          0.000          0.004          0.000          0.000          0.000
   365    12    31  2023      74     740  aqu740                    0.000          4.623        266.959          3.265          0.163         11.944          0.610          0.000          0.500          0.000          5.199          5.196          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      75     770  aqu770                    0.000          4.623        266.962          3.268          0.163         11.945          0.611          0.000          0.500          0.000          5.207          5.204          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      76     780  aqu780                    0.000          3.657        315.203         20.145          1.007         22.331          0.757          0.000          0.500          0.000          6.496          6.485          0.000          0.003          0.000          0.000          0.000
   365    12    31  2023      77     790  aqu790                    0.000          4.623        266.963          3.270          0.164         11.947          0.612          0.000          0.500          0.000          5.212          5.209          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      78      74  aqu_deep074               0.000         19.793       2394.964          0.880          0.000          0.000          0.000          0.000          0.500          0.000          0.003          0.003          0.000          0.000          0.000          0.000          0.000
   365    12    31  2023      79      79  aqu_deep079               0.000         19.824       2394.010          0.677          0.000          0.000          0.000          0.000          0.500          0.000          0.002          0.002          0.000          0.000          0.000          0.000          0.000
