real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag,ns,pbias,rsq,rmse,mse,pcc
106,176.364,199,17.6094,42.3407,90.9211,1,199,37.6148,199,54.7092,122.68,4.64592,30.0119,0.699104538,-0.324422766,0.706260975,113.3141999,12840.10789,0.840393346
107,176.58,199,17.1592,63.2309,3.11392,1,199,164.337,68.6304,181.121,122.779,28.1658,57.3805,0.699103135,-0.303435553,0.706232078,113.314464,12840.16776,0.840376153
108,19.8246,199,8.94537,7.68645,91.9638,1,199,130.921,199,57.8138,122.817,7.49403,7.03802,0.699112345,-0.292721129,0.706230883,113.3127299,12839.77475,0.840375442
109,199,199,16.1747,29.4925,93.2137,1,199,164.947,196.797,167.273,124.415,30.6417,44.6567,0.699000654,0.038881956,0.705738581,113.3337591,12844.54095,0.840082485
110,45.9247,199,17.0246,60.6678,9.65986,1,199,164.247,199,131.675,122.301,23.7422,43.6805,0.699038587,-0.405606605,0.706297833,113.3266174,12842.92221,0.840415274
111,175.176,199,17.1966,61.4204,1.67644,1,199,164.142,199,180.961,122.793,3.95274,1.66359,0.699102253,-0.300651339,0.706227442,113.3146301,12840.20541,0.840373394
112,177.717,199,17.0707,50.6246,90.9735,1,199,164.8,199,181.456,122.69,27.8613,63.417,0.699104837,-0.322099387,0.706258431,113.3141436,12840.09513,0.840391832
113,178.146,199,2.56402,7.50199,87.5245,1,199,139.313,199,39.1332,122.614,11.9705,71.562,0.699126449,-0.332999425,0.706301316,113.310074,12839.17288,0.840417346
114,179.236,199,17.1739,55.4365,20.2033,1,199,57.122,199,45.8682,122.654,6.71845,22.7345,0.699105733,-0.329728774,0.706269572,113.3139749,12840.0569,0.84039846
115,130.717,199,13.6455,60.421,132.947,1,199,147.556,178.163,44.972,123.876,1.22162,54.5927,0.699051882,-0.073158655,0.705906262,113.3241144,12842.35489,0.840182279
116,44.4643,199,18.0876,60.166,22.8721,1.03145,199,165.067,172.489,181.74,122.725,24.0678,40.222,0.699102942,-0.315218858,0.706247027,113.3145003,12840.17598,0.840385047
117,88.1489,199,17.645,15.0045,23.7418,1,199,164.398,199,181.095,122.917,3.57776,71.3931,0.699098675,-0.274793352,0.706190289,113.3153039,12840.3581,0.840351289
118,55.0168,199,2.94791,10.8983,88.8264,1,199,164.238,86.2197,56.2901,122.797,10.0348,6.43187,0.699121798,-0.2949357,0.706246094,113.3109499,12839.37136,0.840384492
119,170.179,199,16.7173,40.9665,102.758,1,199,158.105,199,58.483,123.395,22.995,31.5512,0.699079667,-0.17458085,0.706047826,113.3188829,12841.16922,0.840266521
120,178.089,199,5.97443,14.9169,18.9287,1,199,163.871,199,180.763,122.944,9.12761,55.235,0.699112767,-0.265205415,0.706197282,113.3126505,12839.75676,0.84035545
121,154.968,199,19.3312,66.7936,132.792,1,199,145.381,181.571,165.307,123.567,22.4399,19.5496,0.699066713,-0.139493353,0.705992714,113.321322,12841.72202,0.840233726
122,161.981,199,1.72335,4.14577,33.8235,1,199,152.139,173.391,173.774,123.434,9.55694,67.641,0.699097444,-0.161267827,0.70605668,113.3155357,12840.41062,0.840271789
123,176.408,199,8.83775,28.3993,10.3328,1,199,163.461,199,179.983,122.775,24.339,69.3561,0.699113998,-0.301611413,0.706244323,113.3124187,12839.70423,0.840383438
124,176.977,199,7.04554,54.1337,90.6197,1,199,163.165,85.0453,104.968,122.751,9.38525,71.6871,0.699117503,-0.305784533,0.706254273,113.3117587,12839.55465,0.840389358
125,177.925,199,5.35389,53.0783,21.3179,1,199,164.293,116.499,181.004,122.708,29.2713,28.8436,0.699120311,-0.314393195,0.706269082,113.3112299,12839.43483,0.840398169
126,178.595,199,5.43442,27.0836,16.4126,1,199,163.741,199,35.319,122.691,8.32039,61.5126,0.699120513,-0.317791856,0.706273671,113.3111918,12839.4262,0.840400899
127,115.986,199,7.52436,61.3089,73.1802,1,199,164.299,199,79.4031,122.627,23.703,19.1068,0.69911943,-0.332090555,0.706290774,113.3113959,12839.47243,0.840411075
128,79.9814,199,10.8423,1.97922,24.0228,1,199,164.342,88.1338,66.5536,122.67,24.6653,18.1854,0.699113096,-0.324243552,0.706272309,113.3125884,12839.74269,0.840400089
129,177.892,199,17.3787,25.8912,61.6401,1,199,163.564,199,180.04,122.753,27.335,49.9775,0.699103461,-0.308920774,0.706239506,113.3144027,12840.15385,0.840380572
130,170.89,199,6.31377,15.9983,101.492,1,199,116.942,141.623,65.6208,123.269,12.4452,59.6074,0.699099637,-0.197430606,0.706099827,113.3151228,12840.31706,0.840297463
